,school,talent,win_rate,conference
63,Minnesota,621.36,0.818181818,Big Ten
64,Mississippi State,732.68,0.454545455,SEC
65,Missouri,642.83,0.454545455,SEC
66,Navy,335.4,0.818181818,American Athletic
67,NC State,668.85,0.272727273,ACC
68,Nebraska,729.47,0.416666667,Big Ten
69,Nevada,461.96,0.545454545,Mountain West
70,New Mexico,401.9,0.090909091,Mountain West
71,New Mexico State,269.79,0.090909091,FBS Independents
72,North Carolina,697.75,0.454545455,ACC
73,North Texas,457.24,0.272727273,Conference USA
74,Northern Illinois,397.98,0.363636364,Mid-American
75,Northwestern,612.62,0.25,Big Ten
76,Notre Dame,843.29,0.833333333,FBS Independents
77,Ohio,337.17,0.454545455,Mid-American
78,Ohio State,973.56,1,Big Ten
79,Oklahoma,869.53,0.916666667,Big 12
80,Oklahoma State,644.42,0.636363636,Big 12
81,Old Dominion,374.74,0,Conference USA
82,Ole Miss,717.92,0.272727273,SEC
83,Oregon,817.7,0.833333333,Pac-12
84,Oregon State,595.5,0.363636364,Pac-12
85,Penn State,857.34,0.818181818,Big Ten
86,Pittsburgh,637.95,0.545454545,ACC
87,Purdue,607.4,0.333333333,Big Ten
88,Rice,397.04,0.25,Conference USA
89,Rutgers,587.28,0.166666667,Big Ten
90,San Diego State,504.19,0.727272727,Mountain West
91,San Jose State,433.33,0.363636364,Mountain West
92,SMU,565.15,0.833333333,American Athletic
93,South Alabama,381.38,0.090909091,Sun Belt
94,South Carolina,762.68,0.272727273,SEC
95,South Florida,559.66,0.272727273,American Athletic
96,Southern Mississippi,456.29,0.545454545,Conference USA
97,Stanford,787.59,0.333333333,Pac-12
98,Syracuse,574.82,0.363636364,ACC
99,TCU,691.63,0.363636364,Big 12
100,Temple,489.03,0.636363636,American Athletic
101,Tennessee,830.34,0.545454545,SEC
102,Texas,877.91,0.583333333,Big 12
103,Texas A&M,848.89,0.545454545,SEC
104,Texas State,348.47,0.181818182,Sun Belt
105,Texas Tech,577.21,0.272727273,Big 12
106,Toledo,451.43,0.454545455,Mid-American
107,Troy,388.67,0.363636364,Sun Belt
108,Tulane,486.98,0.454545455,American Athletic
109,Tulsa,424.54,0.333333333,American Athletic
110,UAB,441.81,0.666666667,Conference USA
111,UCF,598.57,0.727272727,American Athletic
112,UCLA,741.4,0.333333333,Pac-12
113,UMass,358.88,0.090909091,FBS Independents
114,UNLV,462.72,0.272727273,Mountain West
115,USC,915.56,0.666666667,Pac-12
116,UT San Antonio,471.36,0.272727273,Conference USA
117,Utah,620.35,0.833333333,Pac-12
118,Utah State,424.16,0.545454545,Mountain West
119,UTEP,355.31,0,Conference USA
120,Vanderbilt,605.06,0.181818182,SEC
121,Virginia,580.28,0.666666667,ACC
122,Virginia Tech,696.39,0.6,ACC
123,Wake Forest,563.24,0.636363636,ACC
124,Washington,801.33,0.545454545,Pac-12
125,Washington State,556.27,0.454545455,Pac-12
126,West Virginia,639.11,0.363636364,Big 12
127,Western Kentucky,486.97,0.727272727,Conference USA
128,Western Michigan,452.05,0.545454545,Mid-American
129,Wisconsin,675.8,0.769230769,Big Ten
130,Wyoming,397.9,0.545454545,Mountain West
